No;Categories;Product;Unit;Price ;;;
323;Beef;Hamburger pure beef;UNIT;17.5;;;
324;Beef;T bone steak sliced;UNIT;15;;;
325;Beef;Beef rump ;UNIT;13.25;;;
326;Beef;Beef thick flank;UNIT;14.75;;;
327;Beef;Ox-tongue;UNIT;19.85;;;
328;Ron;Ron xl extra light btl/750ml;UNIT;12;;;
329;Ron;Ron botran 12 years btl/750ml;UNIT;17.7;;;
330;Ron;Ron botran 8 years btl/750ml;UNIT;14.95;;;
331;Ron;Ron botran 5 years btl/750ml;UNIT;14.45;;;
332;Ron;Bacardi blanco 750ml;UNIT;19;;;
333;Ron;Bacardi blanco 1750ml;UNIT;32;;;
334;Ron;Bacardi oro superior 1750ml;UNIT;36;;;
335;Ron;Bacardi oro superior 750ml;UNIT;19.45;;;
336;Ron;Bacardi 12 years 1 lt ;UNIT;38;;;
337;Ron;Zacapa ron 23 years;UNIT;75;;;
338;Salt;Salt cooking fine;UNIT;1.45;;;
339;Salt;Salt table;UNIT;1.45;;;
340;Sauce;Barbecue sauce;UNIT;9;;;
341;Sauce;Chili sauce hot 300ml;UNIT;4.4;;;
342;Sauce;Heinz tomato ketchup 340lt.;UNIT;2.95;;;
343;Sauce;Italian dressing;UNIT;4.15;;;
344;Sauce;Kikkoman soya sauce 591ml;UNIT;11;;;
345;Sauce;Maggi  brand chcken bouilion ;UNIT;6.75;;;
346;Sauce;Mayonnaise 500 ml;UNIT;6.05;;;
347;Sauce;Oyster sauce 500 ml;UNIT;8.65;;;
348;Sauce;Soy sauce 1lt;UNIT;9.35;;;
349;Sauce;Soya sauce dark 1lt;UNIT;9.65;;;
350;Sauce;Tabasco sauce 60ml;UNIT;5.55;;;
351;Sauce;Thousand island dressing;UNIT;5.5;;;
352;Sauce;Tomato puree;UNIT;4.5;;;
353;Sauce;Tomato sauce;UNIT;3.55;;;
354;Sauce;sause english 200ml;UNIT;3.8;;;
355;Sauce;Sauce chili garlic 250ml;UNIT;5;;;
356;Sauce;Sweet and sour;UNIT;7.05;;;
357;Sauce;Tereyaki 200 ml;UNIT;6.3;;;
358;Sauce;Maggie seasoning 100 ml;UNIT;6.8;;;
359;Shampoo;Shampo head&shoulder men (375ml btl);UNIT;10.45;;;
360;Soup;Inst. Chicken soup with noodles;UNIT;1.4;;;
361;Soup;Soup powder asparagus;UNIT;2.4;;;
362;Soup;Soup powder chick noodle;UNIT;2.4;;;
363;Soup;Soup powder leeks;UNIT;2.4;;;
364;Soup;Soup powder mushrooms;UNIT;1.4;;;
365;Soup;Soup powder oignon;UNIT;2.4;;;
366;Soup;Soup powder tomato;UNIT;2.4;;;
367;Tea / Infusions;Assrted fruit flvr tea (20 pc pkt);UNIT;3.95;;;
368;Tea / Infusions;Camomille teabags (20 pc pkt);UNIT;3.55;;;
369;Tea / Infusions;Jasmine tea   (20pc pkt);UNIT;5.7;;;
370;Tea / Infusions;Green tea   (20pc pkt);UNIT;3.55;;;
371;Tea / Infusions;Teabags liptons yellow label (100 bags);UNIT;10.75;;;
372;Tea / Infusions;Teabags mint ( 20pc pkt);UNIT;5;;;
373;Store;Dishwashing liquid 1 lt;UNIT;4.95;;;
374;Store;Dishwashing machine tablets;UNIT;0.65;;;
375;Store;Strong plastic bags (33gallon) 100 pec pack;UNIT;48;;;
376;Store;Strong plastic bags (55gallon) 50 pec pack;UNIT;45;;;
377;Store;Toilet paper  per roll ;UNIT;0.95;;;
378;Store;Rags per kg (used cloth tshirt only);UNIT;3.15;;;
379;Store;Washing detergent power per kg;UNIT;3;;;
380;Store;Floor cleaner lt;UNIT;2.75;;;
381;Store;Wc clener 750ml;UNIT;10.75;;;
382;Store;Aluminion foil x 500 ;UNIT;44.95;;;
383;Store;Plastic food wrap (2000 ft);UNIT;42;;;
384;Vainilla;Vanilla essence 200ml;UNIT;3.9;;;
385;Frozen Vegetables;Carrots & peas;UNIT;6.8;;;
386;Frozen Vegetables;Carrots whole baby;UNIT;6.45;;;
387;Frozen Vegetables;French fried potatoes;UNIT;6;;;
388;Frozen Vegetables;Mushrooms sliced;UNIT;13.7;;;
389;Frozen Vegetables;Mushrooms whole ;UNIT;3.2;;;
390;Fresh Vegetables;Asparagus green;UNIT;16.5;;;
391;Fresh Vegetables;Avocado;UNIT;4.3;;;
392;Fresh Vegetables;Pepper bell green;UNIT;2.7;;;
393;Fresh Vegetables;Pepper bell red;UNIT;3.35;;;
394;Fresh Vegetables;Pepper bell yellow;UNIT;5.25;;;
395;Fresh Vegetables;Coriander;UNIT;2;;;
396;Fresh Vegetables;Broccolis;UNIT;2;;;
397;Fresh Vegetables;Cabbage white;UNIT;1.4;;;
398;Fresh Vegetables;Cabbages green;UNIT;1.45;;;
399;Fresh Vegetables;Cabbages purple;UNIT;2;;;
400;Fresh Vegetables;Carrots;UNIT;1.7;;;
401;Fresh Vegetables;Cauliflowers;UNIT;1.95;;;
402;Fresh Vegetables;Celery green;UNIT;2.45;;;
403;Fresh Vegetables;Chayottes;UNIT;1.6;;;
404;Fresh Vegetables;Cherry tomato;UNIT;6.1;;;
405;Fresh Vegetables;Pepper chili  red ;UNIT;4.7;;;
406;Fresh Vegetables;Pepper chilli green;UNIT;4.95;;;
407;Fresh Vegetables;Corn on cob;UNIT;3.1;;;
408;Fresh Vegetables;Cucumbers;UNIT;1.6;;;
409;Fresh Vegetables;Curly lettuce;UNIT;3.2;;;
410;Fresh Vegetables;Eggplant;UNIT;3.4;;;
411;Fresh Vegetables;Garden peas;UNIT;7.95;;;
412;Fresh Vegetables;Garlic;UNIT;7.55;;;
413;Fresh Vegetables;Ginger;UNIT;7.7;;;
414;Fresh Vegetables;Green beans ;UNIT;4.95;;;
415;Fresh Vegetables;Leeks long stem;UNIT;4.95;;;
416;Fresh Vegetables;Lemon grass fresh;UNIT;13.7;;;
417;Fresh Vegetables;Lettuce iceberg;UNIT;2.5;;;
418;Fresh Vegetables;Lettuce red oak;UNIT;5.45;;;
419;Fresh Vegetables;Okra (lady finger);UNIT;8.2;;;
420;Fresh Vegetables;Onions white fresh;UNIT;2.25;;;
421;Fresh Vegetables;Onions yellow;UNIT;2.45;;;
422;Fresh Vegetables;Onions red;UNIT;2.75;;;
423;Fresh Vegetables;Parsley;UNIT;6.05;;;
